Question No.,Question,Response,Percentage
1,Organization,Organization - E,49.66226138032305
1,Organization,Organization - D,19.251101321585903
1,Organization,Organization - C,15.007342143906023
1,Organization,Organization - B,10.396475770925111
1,Organization,Organization - A,5.682819383259912
2,Position/Level,Assistant Level,58.66372980910426
2,Position/Level,Officer Level,32.04111600587372
2,Position/Level,Management Level,8.487518355359764
2,Position/Level,Senior Management Level,0.8076358296622614
3,How long have you been working in the Organizationing sector?,Below 5 Years,41.14537444933921
3,How long have you been working in the Organizationing sector?,5-10 Years,29.88252569750367
3,How long have you been working in the Organizationing sector?,10-20 Years,26.123348017621144
3,How long have you been working in the Organizationing sector?,Above 20 Years,2.8487518355359764
4,Sex,Male,68.44346549192363
4,Sex,Female,31.512481644640232
4,Sex,Other,0.04405286343612335
5,Age,25-35 Years,66.57365251872521
5,Age,36-45 Years,23.806726391540607
5,Age,Below 25 Years,5.4046115435453075
5,Age,46-55 Years,4.053458657658981
5,Age,Above 56 Years,0.146864444118079
5,Age,Above 56 years,0.0146864444118079
6,Qualification,Masters,60.05873715124817
6,Qualification,Bachelors,35.24229074889868
6,Qualification,Intermediate,4.6255506607929515
6,Qualification,PhD,0.07342143906020558
7,"How would you rate the following statements about your manager/supervisor? 
Please indicate between 1-5 (1= very poor and 5= extremely good) [Supervisor’s conflict resolution and communication skills.]",4.0,41.239535908356586
7,"How would you rate the following statements about your manager/supervisor? 
Please indicate between 1-5 (1= very poor and 5= extremely good) [Supervisor’s conflict resolution and communication skills.]",3.0,29.04978704655603
7,"How would you rate the following statements about your manager/supervisor? 
Please indicate between 1-5 (1= very poor and 5= extremely good) [Supervisor’s conflict resolution and communication skills.]",5.0,15.39139374357468
7,"How would you rate the following statements about your manager/supervisor? 
Please indicate between 1-5 (1= very poor and 5= extremely good) [Supervisor’s conflict resolution and communication skills.]",2.0,10.383316199148187
7,"How would you rate the following statements about your manager/supervisor? 
Please indicate between 1-5 (1= very poor and 5= extremely good) [Supervisor’s conflict resolution and communication skills.]",1.0,3.9359671023645175
8,"How would you rate the following statements about your manager/supervisor? 
Please indicate between 1-5 (1= very poor and 5= extremely good) [Supervisor’s trust level.]",4.0,39.844323689234834
8,"How would you rate the following statements about your manager/supervisor? 
Please indicate between 1-5 (1= very poor and 5= extremely good) [Supervisor’s trust level.]",3.0,25.17256572183874
8,"How would you rate the following statements about your manager/supervisor? 
Please indicate between 1-5 (1= very poor and 5= extremely good) [Supervisor’s trust level.]",5.0,20.605081509766485
8,"How would you rate the following statements about your manager/supervisor? 
Please indicate between 1-5 (1= very poor and 5= extremely good) [Supervisor’s trust level.]",2.0,10.251138199441916
8,"How would you rate the following statements about your manager/supervisor? 
Please indicate between 1-5 (1= very poor and 5= extremely good) [Supervisor’s trust level.]",1.0,4.126890879718021
9,"How would you rate the following statements about your manager/supervisor? 
Please indicate between 1-5 (1= very poor and 5= extremely good) [Regular feedback and support from the supervisor.]",4.0,36.1192714453584
9,"How would you rate the following statements about your manager/supervisor? 
Please indicate between 1-5 (1= very poor and 5= extremely good) [Regular feedback and support from the supervisor.]",3.0,26.233842538190366
9,"How would you rate the following statements about your manager/supervisor? 
Please indicate between 1-5 (1= very poor and 5= extremely good) [Regular feedback and support from the supervisor.]",5.0,20.44653349001175
9,"How would you rate the following statements about your manager/supervisor? 
Please indicate between 1-5 (1= very poor and 5= extremely good) [Regular feedback and support from the supervisor.]",2.0,11.603995299647474
